"01"	24190581700.950455
"03"	23882103385.17008
"05"	24302843665.077435
"07"	22705744739.79109
"09"	24174030452.458645
"10"	25058292801.31602
"12"	24512657108.80613
"14"	24196653845.221077
"16"	16678649825.803658
"18"	14081137033.104507
"21"	12128683877.261507
"23"	13779982035.369328
"25"	12720316552.773417
"27"	11545392383.400513
"29"	10371979123.916872
"30"	11808258896.663855
"02"	25376879519.9338
"04"	23689836677.76062
"06"	25759310386.693558
"08"	24091593641.62358
"11"	30039329444.242813
"13"	26489325565.204556
"15"	23514174126.24183
"17"	14194850634.466843
"19"	12100849868.147575
"20"	14610296315.148056
"22"	10751701285.316448
"24"	14415679062.496048
"26"	12385969702.466135
"28"	10491810278.75523
"31"	13692446133.253122
