["01", "17"]	5.620285956535166e+19
["01", "19"]	4.454813888902492e+18
["02", "16"]	6.55476087599054e+19
["02", "18"]	6.230362795090817e+18
["03", "17"]	1.770215809422227e+20
["03", "19"]	3.823274668677927e+18
["04", "16"]	2.2670632047054135e+19
["04", "18"]	2.449268234852099e+18
["05", "17"]	1.2484777365193273e+20
["05", "19"]	4.005277417445827e+18
["06", "16"]	3.0490334850065605e+19
["06", "18"]	2.8085234163056374e+18
["07", "17"]	6.4981463792721e+19
["08", "16"]	5.908198737290209e+19
["08", "18"]	2.3989507981126523e+18
["09", "15"]	7.0464679457674535e+19
["09", "17"]	3.438888521827938e+19
["10", "15"]	7.416931809333862e+19
["10", "17"]	2.6736910424748003e+19
["11", "16"]	3.964431643835122e+19
["11", "18"]	5.397909048901716e+18
["12", "15"]	2.6764096183940583e+19
["12", "17"]	1.3737046580115218e+19
["01", "16"]	6.106607047719591e+19
["01", "18"]	1.11645727207502e+19
["02", "17"]	5.558009016262998e+19
["02", "19"]	3.980845264511403e+18
["03", "16"]	4.5853064127780815e+19
["03", "18"]	2.728079891162356e+18
["04", "17"]	1.1135007462190998e+20
["04", "19"]	4.1280245320091075e+18
["05", "16"]	4.7046609524468195e+19
["05", "18"]	2.4981909136531256e+18
["06", "17"]	5.678772230936606e+19
["06", "19"]	3.0362427767092367e+18
["07", "16"]	9.577823510582716e+19
["07", "18"]	2.2749347554396106e+18
["08", "15"]	4.8052118459597835e+20
["08", "17"]	4.827395651885326e+19
["09", "16"]	3.2627612247557157e+19
["09", "18"]	3.733481101982448e+18
["10", "16"]	3.2444426339709395e+19
["10", "18"]	3.070402143025912e+18
["11", "15"]	5.948474386250283e+19
["11", "17"]	2.96411032747405e+19
["12", "16"]	6.146658677538069e+19
["12", "18"]	5.944894163484742e+18
